star,initial_mass
HD13060,100.122436
HD157338,100.118278
HD8912,100.119802
HIP16094,100.120213
HD174153,100.118198
HIP102964,100.110502
HD221146,100.118743
HD125522,100.121259
HD148303,100.112614
HD199868,100.120368
HD117359,100.121557
HD66740,100.100031
HD131664,100.116985
HD73583,100.125454
HD27471,100.114845
HD21749,100.127401
HD40307,103.730646
HD134060,100.122170
HD5349,100.112486
